         city_name         | state_name |                      airline_name                       | passengers 
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       7288
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        260
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        581
 Denver, CO                | Colorado   | Trans States Airlines                                   |        503
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        694
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       3729
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       6906
 Denver, CO                | Colorado   | Virgin America                                          |        117
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       7006
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      13584
 Montrose/Delta, CO        | Colorado   | Sun Country Airlines d/b/a MN Airlines                  |         93
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |       1007
 Durango, CO               | Colorado   | SkyWest Airlines Inc.                                   |       1892
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        801
 Denver, CO                | Colorado   | Trans States Airlines                                   |       1694
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       6450
 Colorado Springs, CO      | Colorado   | Delta Air Lines Inc.                                    |        139
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        665
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2007
 Montrose/Delta, CO        | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       2931
 Denver, CO                | Colorado   | Trans States Airlines                                   |       2581
 Colorado Springs, CO      | Colorado   | Federal Express Corporation                             |          0
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       8437
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       1209
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        188
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       4990
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       3185
 Denver, CO                | Colorado   | American Airlines Inc.                                  |        150
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       2134
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |       2274
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       9871
 Grand Junction, CO        | Colorado   | SkyWest Airlines Inc.                                   |         64
 Denver, CO                | Colorado   | Trans States Airlines                                   |       1208
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       6379
 Colorado Springs, CO      | Colorado   | Delta Air Lines Inc.                                    |        160
 Denver, CO                | Colorado   | Trans States Airlines                                   |       1456
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2630
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1036
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       2660
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       2319
 Denver, CO                | Colorado   | Republic Airlines                                       |       1222
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1220
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |        877
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2274
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       1873
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        128
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        456
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        244
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |        110
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |        693
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |        133
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |      10912
 Denver, CO                | Colorado   | Great Lakes Airlines                                    |         88
 Denver, CO                | Colorado   | GoJet Airlines LLC d/b/a United Express                 |       1602
 Denver, CO                | Colorado   | Trans States Airlines                                   |       2258
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       7633
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       9463
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        136
 Denver, CO                | Colorado   | Republic Airlines                                       |         33
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2451
 Durango, CO               | Colorado   | Empire Airlines Inc.                                    |          0
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |         87
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |       1105
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        201
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       7386
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        638
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1957
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       2909
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |      13156
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       3772
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |        299
 Colorado Springs, CO      | Colorado   | American Airlines Inc.                                  |        133
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       6096
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |      12093
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |      34857
 Eagle, CO                 | Colorado   | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         22
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |        180
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1016
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        701
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |      13293
 Denver, CO                | Colorado   | Southwest Airlines Co.                                  |        265
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        358
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |         43
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       4739
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1970
 Denver, CO                | Colorado   | American Airlines Inc.                                  |       8248
 Denver, CO                | Colorado   | Alaska Airlines Inc.                                    |      12963
 Denver, CO                | Colorado   | Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways |         43
 Denver, CO                | Colorado   | Ameristar Air Cargo                                     |          0
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |        197
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |       2324
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |        397
 Denver, CO                | Colorado   | Delta Air Lines Inc.                                    |       4489
 Denver, CO                | Colorado   | Frontier Airlines Inc.                                  |       2227
 Denver, CO                | Colorado   | Republic Airlines                                       |       1232
 Denver, CO                | Colorado   | United Air Lines Inc.                                   |      13447
 Grand Junction, CO        | Colorado   | SkyWest Airlines Inc.                                   |         73
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       2645
 Colorado Springs, CO      | Colorado   | SkyWest Airlines Inc.                                   |       5618
 Denver, CO                | Colorado   | Boutique Air                                            |        506
 Denver, CO                | Colorado   | SkyWest Airlines Inc.                                   |       1949
